qid,common,const,typ,ra,dec,radm,decdm,maj,min,pa,rot,pal,maxalt,peak,fit,src,note,png
NGC 7000,North America,Cyg,HII,314.696,44.33,20h58m46s,+44°19',120,100,0,any (round),SHO,86,Aug,fits,SIMBAD,NA alone fits with room (mosaic on the 120); +Pelican combo ~2.2°+ E-W = S30 or 2-panel,NGC_7000.png
IC 5070,Pelican,Cyg,HII,312.75,44.367,20h51m00s,+44°22',60,50,0,any (round),SHO,86,Aug,fits,SIMBAD,own frame with context (tight on the 120),IC_5070.png
NGC 6960,Western Veil,Cyg,SNR,311.408,30.708,20h45m37s,+30°42',70,8,10,PA 010° (long axis),HOO,80,Aug,fits,SIMBAD,Witch's Broom + Pickering's with room the 120 can't give; full loop = 2-panel on this rig,NGC_6960.png
NGC 6992,Eastern Veil,Cyg,SNR,314.079,31.743,20h56m19s,+31°44',60,8,200,PA 200° (long axis),HOO,81,Aug,fits,SIMBAD,Network + Bat in one frame,NGC_6992.png
Sh2-119,Clamshell,Cyg,HII,319.625,43.933,21h18m30s,+43°56',90,90,0,any (round),Ha / HOO,87,Aug,fits,SIMBAD,"whole shell + 68 Cyg, with field",Sh2-119.png
Sh2-101,Tulip,Cyg,HII,299.979,35.277,19h59m55s,+35°16',16,9,135,PA 135° (long axis),SHO,85,Jul,small,SIMBAD,840mm territory; ok as a Cyg X-1 wide-context frame,Sh2-101.png
NGC 6888,Crescent,Cyg,WR bubble,303.027,38.355,20h12m06s,+38°21',18,12,60,PA 060° (long axis),SHO / HOO,88,Jul,small,SIMBAD,840mm territory (existing data is from the 120),NGC_6888.png
IC 5146,Cocoon (+B168),Cyg,HII+refl,328.372,47.246,21h53m29s,+47°14',12,12,105,any (round),Ha / HOO,83,Aug,small,SIMBAD,"nebula is small, but at PA~105 the B168 dark river (~1.5°) makes the frame",IC_5146.png
IC 1396,Elephant's Trunk (full),Cep,HII,324.745,57.514,21h38m58s,+57°30',170,140,0,any (round),SHO,73,Aug,tight,SIMBAD,tight: 140' across vs 135' short axis — rim kiss; mu Cep + trunk + full shell,IC_1396.png
Sh2-129,Flying Bat (+OU4 Squid),Cep,HII,317.95,59.95,21h11m47s,+59°56',150,120,0,any (round),HOO,71,Aug,fits,SIMBAD,Bat+Squid fit together; the OIII Squid is dark-site-deep,Sh2-129.png
NGC 7380,Wizard,Cep,HII,341.817,58.125,22h47m16s,+58°07',25,20,0,any (round),SHO,73,Sep,fits,SIMBAD,fits with generous field,NGC_7380.png
Sh2-155,Cave,Cep,HII,344.275,62.636,22h57m05s,+62°38',50,30,90,PA 090° (long axis),SHO,68,Sep,fits,SIMBAD,"comfortable, dark rim + field",Sh2-155.png
Sh2-132,Lion,Cep,HII,334.787,56.079,22h19m08s,+56°04',40,30,30,PA 030° (long axis),SHO,75,Aug,fits,SIMBAD,faint; SHO rewards it,Sh2-132.png
